,favorite_count,tweet_id,retweet_count,text
1991-02-08 13:48:08.022790149,2565,666020888022790144,517,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj
1991-02-08 16:08:05.002620928,130,666029285002620928,47,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI
1991-02-08 17:16:52.701032449,125,666033412701032448,44,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR
1991-02-08 20:17:06.329800704,299,666044226329800704,141,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx
1991-02-08 21:40:48.165822465,109,666049248165822464,41,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq
1991-02-08 22:05:58.794694657,133,666050758794694656,58,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe
1991-02-08 22:24:13.826850816,1221,666051853826850816,852,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc
1991-02-08 23:25:25.042405380,434,666055525042405376,252,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt
1991-02-08 23:51:30.499244032,298,666057090499244032,142,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O
1991-02-09 00:16:40.524156928,111,666058600524156928,57,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p
1991-02-09 01:43:47.256086533,475,666063827256086528,219,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK
1991-02-09 03:46:33.221509120,148,666071193221509120,62,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx
1991-02-09 04:18:20.786774016,322,666073100786774016,164,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY
1991-02-09 07:01:56.733198337,119,666082916733198336,45,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7
1991-02-09 10:06:40.022159362,164,666094000022159360,74,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP
1991-02-09 11:38:33.787052032,155,666099513787052032,68,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C
1991-02-09 12:22:35.909144576,80,666102155909144576,13,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq
1991-02-09 12:55:33.288665088,14340,666104133288665088,6624,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX
1991-02-11 10:41:50.803644416,102,666268910803644416,35,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk
1991-02-11 11:51:37.616637952,175,666273097616637952,76,Can take selfies 11/10 https://t.co/ws2AMaNwPW
1991-02-11 15:50:06.224695296,149,666287406224695296,66,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv
